"id","site","job_url","job_url_direct","title","company","location","job_type","date_posted","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","company_industry","listing_type","emails","description","company_url","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url"
"1009439113135","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009439113135","","AI Applied Scientist - PhD Intern, Personalization","Zillow","United States","","2024-09-09","direct_data","yearly",104000.0,166000.0,"USD",False,"","","","organic","","**About the team**
------------------


Are you passionate about building new, personalized experiences to change how people shop for homes and rentals? Every month over 180 million users turn to Zillow for help. The Zillow AI Team is re-imagining the home shopping experience, supporting people through the process of finding their home from the convenience of their phones or PCs. Using groundbreaking technologies, our team works across data, product, design, research, engineering, and business to enable people to find their home, tour it, finance it, and connect with the right people to help them close on their dreams. We believe this is the future of home shopping!**About the role**
------------------


Our team is hiring interns (remote positions) for Summer 2025!


As an intern, you will have the opportunity to innovate for our customers and our business. Your groundbreaking work will help us evolve our key systems, including content creation, home and user understanding, discovery, search, and valuation.


We are eager to partner with hardworking students interested in pushing the state-of-the-art in the high-impact research areas of Personalization, Reinforcement Learning, Graphical Models, Multimodal Image and Text, Multimodal Search, and Recommender systems, or Ranking.


Our team has an open attitude towards research, and we encourage publications and continuing collaborations. Many of our past interns have submissions and publications at top conferences such as RecSys and KDD as a product of intern research and team collaboration. Please see https://github.com/zillow/as-research for more details.


This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice, which must be identified to the Company. U.S. employees may live in any of the 50 United States, with limited exceptions.
In California, Colorado, Connecticut, Hawaii, Nevada, New York, Washington state, and Washington DC the standard base pay range for this role is $104,000.00 - $166,000.00 Annually. This base pay range is specific to California, Colorado, Connecticut, Hawaii, Nevada, New York, Washington state, and Washington DC and may not be applicable to other locations.**Who you are**
---------------


 The ideal AI intern:

* Is a PhD graduate student working towards a degree in computer science, reinforcement learning, machine learning, or another applicable field.
* Has experience working in at least one of these areas:
* Deep learning applied to scene understanding, user understanding, and conversation
* Representation learning with no/limited labeled data: self/semi/weakly-supervised learning
* Multi-modal learning, especially using images and text
* Reinforcement learning
* Graphical Models
* Has good publication record or is highly motivated towards publishing at top-tier scientific conferences (such as CVPR, ECCV, ICCV, SIGGRAPH, ACL, NAACL, EMNLP, NeurIPS, ICML, KDD, ICASSP)

**Get to know us**
------------------


Zillow is reimagining real estate to make home a reality for more and more people.


As the most-visited real estate website in the United States, Zillow® and its affiliates help movers find and win their home through digital solutions, first class partners, and easier buying, selling, financing and renting experiences. Millions of people visit Zillow Group sites every month to start their home search, and now they can rely on Zillow to help make it easier to move. The work we do helps people get home and no matter what job you're in, you will play a critical role in making home a reality for more and more people.


Our efforts to streamline the real estate transaction are supported by a deep-rooted culture of innovation, our passion to redefine the employee experience, a fundamental commitment to Equity and Belonging, and world-class benefits. These benefits include comprehensive medical, dental, vision, life, and disability coverages as well as parental leave, family benefits, retirement contributions, and paid time off. We’re also setting the standard for work experiences of the future, where our employees are supported in doing their best work and living a flexible, well-balanced life. But don’t just take our word for it. Read recent reviews on Glassdoor and recent recognition from multiple organizations, including: the 100 Best Companies to Work For, Glassdoor Employees’ Choice Award, Bloomberg Gender-Equality Index, Human Rights Campaign (HRC) Corporate Equity Index, and TIME 100 Most Influential Companies list.

*Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. If you have a disability or special need that requires accommodation, please contact your recruiter directly.*

*Q**ualified applicants with arrest or conviction records will be considered for employment in accordance with applicable state and local law.*

*Applicants who receive job offers from Zillow Group will be asked to sign a Proprietary Rights Agreement which includes confidentiality, intellectual property assignment, customer and employee non-solicitation, and non-competition provisions. If you are contacted for a role at Zillow Group and wish to review a copy of the Proprietary Rights Agreement prior to receiving an offer, you may request a copy from your Recruiter.*","https://www.glassdoor.com/Overview/W-EI_IE40802.htm","","","","","","https://media.glassdoor.com/sql/40802/zillow-squarelogo-1554256839956.png","","",""
"1009438004373","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009438004373","","Machine Learning / Artificial Intelligence Intern/Co-Op (Undergrad | 2025 | Hybrid)","Advanced Micro Devices, Inc","Austin, TX","","2024-09-07","direct_data","yearly",84377.0,154789.0,"USD",False,"","","","organic","","Overview:
**WHAT YOU DO AT AMD CHANGES EVERYTHING**
We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences – the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world’s most important challenges. We strive for execution excellence while being direct, humble, collaborative, and inclusive of diverse perspectives.
AMD together we advance\\_
Responsibilities:
**Machine Learning / Artificial Intelligence Intern/Co-Op (Undergrad | 2025 | Hybrid)** **This application is for the Spring 2025 and Summer 2025 internship programs. During the application process, select your preferred term(s) of interest.**  

An exciting internship opportunity to make an immediate contribution to AMD's next generation of technology innovations awaits you! We have a multifaceted, high-energy work environment, filled with a diverse group of employees, and we provide outstanding opportunities for developing your career. During your internship, you will have the opportunity to collaborate with AMD leaders, receive one-on-one mentorship, attend amazing networking events, and much more. Being part of AMD means receiving hands-on experience that will give you a competitive edge. Together We Advance your career! **Job Details****:*** **Location:** Austin, TX
* **Onsite/Hybrid:** This role requires the student to work full time (40 hours a week), in a hybrid work structure throughout the duration of the co-op/intern term.
* **Duration:**
	+ Spring Term: January 2025 to May 2025
	+ Summer Term: May 2025 to September 2025

 **What You Will Be Doing:**


We are seeking highly motivated Machine Learning (ML)/ Artificial Intelligence (AI) intern/co-op to join our team and participate in research and development of next-generation product differentiation features with extraordinary ML/AI engineers. In this role –

* We will help you learn innovative new technologies in Machine Learning | AI | High Performance Compute.
* We will train you to analyze and implement changes to algorithms to improve AI performance and user experiences
* We may assign you to one or more of the following project work -
* Work on machine learning techniques to build applications for source code analysis and Image Corruption Detection.
* Research, development, and deployment in machine learning-based and computer vision products on AMD’s current and future products
* Fixing and addressing problems with deployed AI to improve user experience
* Support AI software teams with roadmap planning, collateral development, and customer engagements

**Who** **we are looking for****:**

* Currently enrolled in a United States based University in a UnderGraduate program majoring in Computer Science, Computer Engineering, Data Science/Analytics, or a related field.
* If you have knowledge / experience with any of the following technical skills (or related areas) and are enthusiastic about this role, we strongly encourage you to apply –

  

* Machine learning, data science, computer vision, statistics, and mathematics
* Programming in Python, C/C++
* Relational (SQL) and no-SQL databases.
* Machine learning algorithms and frameworks
* Deep learning / AI framework like Pytorch, Tensorflow, Caffe, etc.
* Familiarity with cloud (e.g., AWS, GCP, Azure) is a plus

 ***Note:*** *By* *submitting* *your application, you are* *indicating* *your interest in AMD intern positions. We are recruiting for multiple positions, and if your experience aligns with* *any of* *intern opportunities, a recruiter will contact you.*
Qualifications:

At AMD, your base pay is one part of your total rewards package. Your base pay will depend on where your skills, qualifications, experience, and location fit into the hiring range for the position. You may be eligible for incentives based upon your role such as either an annual bonus or sales incentive. Many AMD employees have the opportunity to own shares of AMD stock, as well as a discount when purchasing AMD stock if voluntarily participating in AMD’s Employee Stock Purchase Plan. You’ll also be eligible for competitive benefits described in more detail here. *AMD does not accept unsolicited resumes from headhunters, recruitment agencies, or fee-based recruitment services. AMD and its subsidiaries are equal opportunity, inclusive employers and will consider all applicants without regard to age, ancestry, color, marital status, medical condition, mental or physical disability, national origin, race, religion, political and/or third-party affiliation, sex, pregnancy, sexual orientation, gender identity, military or veteran status, or any other characteristic protected by law. We encourage applications from all qualified candidates and will accommodate applicants’ needs under the respective laws throughout all stages of the recruitment and selection process.*","https://www.glassdoor.com/Overview/W-EI_IE15.htm","","","","","","https://media.glassdoor.com/sql/15/amd-squarelogo-1413388782139.png","","",""
"1009438004377","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009438004377","","Machine Learning / Artificial Intelligence Intern/Co-Op (Graduate | 2025 | Hybrid)","Advanced Micro Devices, Inc","Austin, TX","","2024-09-07","direct_data","yearly",92406.0,165684.0,"USD",False,"","","","organic","","Overview:
**WHAT YOU DO AT AMD CHANGES EVERYTHING**
We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences – the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world’s most important challenges. We strive for execution excellence while being direct, humble, collaborative, and inclusive of diverse perspectives.
AMD together we advance\\_
Responsibilities:
**Machine Learning / Artificial Intelligence Intern/Co-Op (Graduate | 2025 | Hybrid)** **This application is for the Spring 2025 and Summer 2025 internship programs. During the application process, select your preferred term(s) of interest.**  

An exciting internship opportunity to make an immediate contribution to AMD's next generation of technology innovations awaits you! We have a multifaceted, high-energy work environment, filled with a diverse group of employees, and we provide outstanding opportunities for developing your career. During your internship, you will have the opportunity to collaborate with AMD leaders, receive one-on-one mentorship, attend amazing networking events, and much more. Being part of AMD means receiving hands-on experience that will give you a competitive edge. Together We Advance your career! **Job Details****:*** **Location:** Austin, TX
* **Onsite/Hybrid:** This role requires the student to work full time (40 hours a week), in a hybrid work structure throughout the duration of the co-op/intern term.
* **Duration:**
	+ Spring Term: January 2025 to May 2025
	+ Summer Term: May 2025 to September 2025

 **What You Will Be Doing:**


We are seeking highly motivated Machine Learning (ML)/ Artificial Intelligence (AI) intern/co-op to join our team and participate in research and development of next-generation product differentiation features with extraordinary ML/AI engineers. In this role –

* We will help you learn innovative new technologies in Machine Learning | AI | High Performance Compute.
* We will train you to analyze and implement changes to algorithms to improve AI performance and user experiences
* We may assign you to one or more of the following project work -
* Work on machine learning techniques to build applications for source code analysis and Image Corruption Detection.
* Research, development, and deployment in machine learning-based and computer vision products on AMD’s current and future products
* Fixing and addressing problems with deployed AI to improve user experience
* Support AI software teams with roadmap planning, collateral development, and customer engagements

**Who** **we are looking for****:**

* Currently enrolled in a United States based University in a Graduate program majoring in Computer Science, Computer Engineering, Data Science/Analytics, or a related field.
* If you have knowledge / experience with any of the following technical skills (or related areas) and are enthusiastic about this role, we strongly encourage you to apply –

  

* Machine learning, data science, computer vision, statistics, and mathematics
* Programming in Python, C/C++
* Relational (SQL) and no-SQL databases.
* Machine learning algorithms and frameworks
* Deep learning / AI framework like Pytorch, Tensorflow, Caffe, etc.
* Familiarity with cloud (e.g., AWS, GCP, Azure) is a plus

 ***Note:*** *By* *submitting* *your application, you are* *indicating* *your interest in AMD intern positions. We are recruiting for multiple positions, and if your experience aligns with* *any of* *intern opportunities, a recruiter will contact you.*
Qualifications:

At AMD, your base pay is one part of your total rewards package. Your base pay will depend on where your skills, qualifications, experience, and location fit into the hiring range for the position. You may be eligible for incentives based upon your role such as either an annual bonus or sales incentive. Many AMD employees have the opportunity to own shares of AMD stock, as well as a discount when purchasing AMD stock if voluntarily participating in AMD’s Employee Stock Purchase Plan. You’ll also be eligible for competitive benefits described in more detail here. *AMD does not accept unsolicited resumes from headhunters, recruitment agencies, or fee-based recruitment services. AMD and its subsidiaries are equal opportunity, inclusive employers and will consider all applicants without regard to age, ancestry, color, marital status, medical condition, mental or physical disability, national origin, race, religion, political and/or third-party affiliation, sex, pregnancy, sexual orientation, gender identity, military or veteran status, or any other characteristic protected by law. We encourage applications from all qualified candidates and will accommodate applicants’ needs under the respective laws throughout all stages of the recruitment and selection process.*","https://www.glassdoor.com/Overview/W-EI_IE15.htm","","","","","","https://media.glassdoor.com/sql/15/amd-squarelogo-1413388782139.png","","",""
"cdb50e5e96de1468","indeed","https://www.indeed.com/viewjob?jk=cdb50e5e96de1468","https://zillow.wd5.myworkdayjobs.com/Zillow_Group_External/job/Remote-USA/AI-Applied-Scientist---PhD-Intern--Valuation---Market-Dynamics--VMD-_P745483","AI Applied Scientist - PhD Intern, Valuation & Market Dynamics (VMD)","Zillow","Remote, US","fulltime","2024-09-09","direct_data","yearly",104000.0,166000.0,"USD",True,"","","","","","**About the team**
------------------


Are you passionate about building new data products and experiences to change how people shop for homes and rentals? Every month over 180 million users turn to Zillow for help. The Zillow AI Team is re-imagining the home shopping experience, supporting people through the process of finding their home, understanding its value and ultimately making an offer or submitting an application. All from the convenience of their phones or PCs. Using groundbreaking technologies, our team works across data, product, design, research, engineering, and business to enable people to find their home, tour it, finance it, and connect with the right people to help them achieve their dreams. We believe this is the future of home shopping!**About the role**
------------------


Our team is hiring interns (remote positions) for Summer 2025!


As an intern, you will have the opportunity to innovate for our customers and our business. Your groundbreaking work will help us evolve and test our key data products and home valuation models, including the Zestimate, Rent Zestimate, Zillow Home Value Index (ZHVI) and many more models that provide critical market information and interactive tooling at both the aggregate and home-specific levels. We are eager to partner with hardworking students interested in pushing the state-of-the-art in the high-impact research areas of Deep Learning, Geospatial Data Application, Causal Modeling, Model Explainability, Responsible/Ethical AI, Real Estate Economics and Fair Housing Alignment.


Our team has an open attitude towards research, and we encourage publications and continuing collaborations. Many of our past interns have submissions and publications at top ML and other domain-specific conferences as a product of intern research and team collaboration. Please see https://github.com/zillow/as-research for more details.


This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice, which must be identified to the Company. U.S. employees may live in any of the 50 United States, with limited exceptions.
In California, Colorado, Connecticut, Hawaii, Nevada, New York, Washington state, and Washington DC the standard base pay range for this role is $104,000.00 - $166,000.00 Annually. This base pay range is specific to California, Colorado, Connecticut, Hawaii, Nevada, New York, Washington state, and Washington DC and may not be applicable to other locations.**Who you are**
---------------


 The ideal AI intern:

* Is a PhD graduate student working towards a degree in computer science, machine learning, economics, statistics or another applicable field.
* Has experience working in one or more of these areas:
* Machine learning applied to tabular data, ideally in an economic context
* Deep Learning models
* Multimodal ML models
* Analyzing quasi- or natural experiments and/or causal modeling
* Geospatial data application to machine learning problems
* Model explainability and/or ethical & responsible AI
* Python & large datasets
* Applying Computer Vision techniques to classification tasks
* Has good publication record or is highly motivated towards publishing at top-tier scientific journals and/or conferences within the Computer Sciences, Economics, Statistics and Real Estate domains.

**Get to know us**
------------------


Zillow is reimagining real estate to make home a reality for more and more people.


As the most-visited real estate website in the United States, Zillow® and its affiliates help movers find and win their home through digital solutions, first class partners, and easier buying, selling, financing and renting experiences. Millions of people visit Zillow Group sites every month to start their home search, and now they can rely on Zillow to help make it easier to move. The work we do helps people get home and no matter what job you're in, you will play a critical role in making home a reality for more and more people.


Our efforts to streamline the real estate transaction are supported by a deep-rooted culture of innovation, our passion to redefine the employee experience, a fundamental commitment to Equity and Belonging, and world-class benefits. These benefits include comprehensive medical, dental, vision, life, and disability coverages as well as parental leave, family benefits, retirement contributions, and paid time off. We’re also setting the standard for work experiences of the future, where our employees are supported in doing their best work and living a flexible, well-balanced life. But don’t just take our word for it. Read recent reviews on Glassdoor and recent recognition from multiple organizations, including: the 100 Best Companies to Work For, Glassdoor Employees’ Choice Award, Bloomberg Gender-Equality Index, Human Rights Campaign (HRC) Corporate Equity Index, and TIME 100 Most Influential Companies list.

*Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. If you have a disability or special need that requires accommodation, please contact your recruiter directly.*

*Q**ualified applicants with arrest or conviction records will be considered for employment in accordance with applicable state and local law.*

*Applicants who receive job offers from Zillow Group will be asked to sign a Proprietary Rights Agreement which includes confidentiality, intellectual property assignment, customer and employee non-solicitation, and non-competition provisions. If you are contacted for a role at Zillow Group and wish to review a copy of the Proprietary Rights Agreement prior to receiving an offer, you may request a copy from your Recruiter.*","https://www.indeed.com/cmp/Zillow","http://www.zillow.com/careers","Seattle, WA","5,001 to 10,000","$100M to $500M (USD)","Our purpose is to make home a reality for more and more people.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/da1abe168e302099fab9261a30c54252","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/f476c573ec471a046060de4025d53585","Jeremy Wacksman","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/dc11df0f0f7917f7e448624846d665e4"
"151d368d2079f031","indeed","https://www.indeed.com/viewjob?jk=151d368d2079f031","https://zillow.wd5.myworkdayjobs.com/Zillow_Group_External/job/Remote-USA/AI-Applied-Scientist---PhD-Intern--Personalization_P745481","AI Applied Scientist - PhD Intern, Personalization","Zillow","Remote, US","fulltime","2024-09-09","direct_data","yearly",104000.0,166000.0,"USD",True,"","","","","","**About the team**
------------------


Are you passionate about building new, personalized experiences to change how people shop for homes and rentals? Every month over 180 million users turn to Zillow for help. The Zillow AI Team is re-imagining the home shopping experience, supporting people through the process of finding their home from the convenience of their phones or PCs. Using groundbreaking technologies, our team works across data, product, design, research, engineering, and business to enable people to find their home, tour it, finance it, and connect with the right people to help them close on their dreams. We believe this is the future of home shopping!**About the role**
------------------


Our team is hiring interns (remote positions) for Summer 2025!


As an intern, you will have the opportunity to innovate for our customers and our business. Your groundbreaking work will help us evolve our key systems, including content creation, home and user understanding, discovery, search, and valuation.


We are eager to partner with hardworking students interested in pushing the state-of-the-art in the high-impact research areas of Personalization, Reinforcement Learning, Graphical Models, Multimodal Image and Text, Multimodal Search, and Recommender systems, or Ranking.


Our team has an open attitude towards research, and we encourage publications and continuing collaborations. Many of our past interns have submissions and publications at top conferences such as RecSys and KDD as a product of intern research and team collaboration. Please see https://github.com/zillow/as-research for more details.


This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice, which must be identified to the Company. U.S. employees may live in any of the 50 United States, with limited exceptions.
In California, Colorado, Connecticut, Hawaii, Nevada, New York, Washington state, and Washington DC the standard base pay range for this role is $104,000.00 - $166,000.00 Annually. This base pay range is specific to California, Colorado, Connecticut, Hawaii, Nevada, New York, Washington state, and Washington DC and may not be applicable to other locations.**Who you are**
---------------


 The ideal AI intern:

* Is a PhD graduate student working towards a degree in computer science, reinforcement learning, machine learning, or another applicable field.
* Has experience working in at least one of these areas:
* Deep learning applied to scene understanding, user understanding, and conversation
* Representation learning with no/limited labeled data: self/semi/weakly-supervised learning
* Multi-modal learning, especially using images and text
* Reinforcement learning
* Graphical Models
* Has good publication record or is highly motivated towards publishing at top-tier scientific conferences (such as CVPR, ECCV, ICCV, SIGGRAPH, ACL, NAACL, EMNLP, NeurIPS, ICML, KDD, ICASSP)

**Get to know us**
------------------


Zillow is reimagining real estate to make home a reality for more and more people.


As the most-visited real estate website in the United States, Zillow® and its affiliates help movers find and win their home through digital solutions, first class partners, and easier buying, selling, financing and renting experiences. Millions of people visit Zillow Group sites every month to start their home search, and now they can rely on Zillow to help make it easier to move. The work we do helps people get home and no matter what job you're in, you will play a critical role in making home a reality for more and more people.


Our efforts to streamline the real estate transaction are supported by a deep-rooted culture of innovation, our passion to redefine the employee experience, a fundamental commitment to Equity and Belonging, and world-class benefits. These benefits include comprehensive medical, dental, vision, life, and disability coverages as well as parental leave, family benefits, retirement contributions, and paid time off. We’re also setting the standard for work experiences of the future, where our employees are supported in doing their best work and living a flexible, well-balanced life. But don’t just take our word for it. Read recent reviews on Glassdoor and recent recognition from multiple organizations, including: the 100 Best Companies to Work For, Glassdoor Employees’ Choice Award, Bloomberg Gender-Equality Index, Human Rights Campaign (HRC) Corporate Equity Index, and TIME 100 Most Influential Companies list.

*Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. If you have a disability or special need that requires accommodation, please contact your recruiter directly.*

*Q**ualified applicants with arrest or conviction records will be considered for employment in accordance with applicable state and local law.*

*Applicants who receive job offers from Zillow Group will be asked to sign a Proprietary Rights Agreement which includes confidentiality, intellectual property assignment, customer and employee non-solicitation, and non-competition provisions. If you are contacted for a role at Zillow Group and wish to review a copy of the Proprietary Rights Agreement prior to receiving an offer, you may request a copy from your Recruiter.*","https://www.indeed.com/cmp/Zillow","http://www.zillow.com/careers","Seattle, WA","5,001 to 10,000","$100M to $500M (USD)","Our purpose is to make home a reality for more and more people.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/da1abe168e302099fab9261a30c54252","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/f476c573ec471a046060de4025d53585","Jeremy Wacksman","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/dc11df0f0f7917f7e448624846d665e4"
"ac3717ca4857ad88","indeed","https://www.indeed.com/viewjob?jk=ac3717ca4857ad88","https://careers.amd.com/jobs/52733/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","Machine Learning / Artificial Intelligence Intern/Co-Op (Graduate | 2025 | Hybrid)","AMD","Austin, TX, US","fulltime, internship","2024-09-07","direct_data","yearly",69573.0,88095.0,"USD",False,"","","Computers And Electronics","","","Overview:
**WHAT YOU DO AT AMD CHANGES EVERYTHING**
We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences – the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world’s most important challenges. We strive for execution excellence while being direct, humble, collaborative, and inclusive of diverse perspectives.
AMD together we advance\\_
Responsibilities:
**Machine Learning / Artificial Intelligence Intern/Co-Op (Graduate | 2025 | Hybrid)** **This application is for the Spring 2025 and Summer 2025 internship programs. During the application process, select your preferred term(s) of interest.**  

An exciting internship opportunity to make an immediate contribution to AMD's next generation of technology innovations awaits you! We have a multifaceted, high-energy work environment, filled with a diverse group of employees, and we provide outstanding opportunities for developing your career. During your internship, you will have the opportunity to collaborate with AMD leaders, receive one-on-one mentorship, attend amazing networking events, and much more. Being part of AMD means receiving hands-on experience that will give you a competitive edge. Together We Advance your career! **Job Details****:*** **Location:** Austin, TX
* **Onsite/Hybrid:** This role requires the student to work full time (40 hours a week), in a hybrid work structure throughout the duration of the co-op/intern term.
* **Duration:**
	+ Spring Term: January 2025 to May 2025
	+ Summer Term: May 2025 to September 2025

 **What You Will Be Doing:**


We are seeking highly motivated Machine Learning (ML)/ Artificial Intelligence (AI) intern/co-op to join our team and participate in research and development of next-generation product differentiation features with extraordinary ML/AI engineers. In this role –

* We will help you learn innovative new technologies in Machine Learning | AI | High Performance Compute.
* We will train you to analyze and implement changes to algorithms to improve AI performance and user experiences
* We may assign you to one or more of the following project work -
* Work on machine learning techniques to build applications for source code analysis and Image Corruption Detection.
* Research, development, and deployment in machine learning-based and computer vision products on AMD’s current and future products
* Fixing and addressing problems with deployed AI to improve user experience
* Support AI software teams with roadmap planning, collateral development, and customer engagements

**Who** **we are looking for****:**

* Currently enrolled in a United States based University in a Graduate program majoring in Computer Science, Computer Engineering, Data Science/Analytics, or a related field.
* If you have knowledge / experience with any of the following technical skills (or related areas) and are enthusiastic about this role, we strongly encourage you to apply –

  

* Machine learning, data science, computer vision, statistics, and mathematics
* Programming in Python, C/C++
* Relational (SQL) and no-SQL databases.
* Machine learning algorithms and frameworks
* Deep learning / AI framework like Pytorch, Tensorflow, Caffe, etc.
* Familiarity with cloud (e.g., AWS, GCP, Azure) is a plus

 ***Note:*** *By* *submitting* *your application, you are* *indicating* *your interest in AMD intern positions. We are recruiting for multiple positions, and if your experience aligns with* *any of* *intern opportunities, a recruiter will contact you.*
Qualifications:

At AMD, your base pay is one part of your total rewards package. Your base pay will depend on where your skills, qualifications, experience, and location fit into the hiring range for the position. You may be eligible for incentives based upon your role such as either an annual bonus or sales incentive. Many AMD employees have the opportunity to own shares of AMD stock, as well as a discount when purchasing AMD stock if voluntarily participating in AMD’s Employee Stock Purchase Plan. You’ll also be eligible for competitive benefits described in more detail here. *AMD does not accept unsolicited resumes from headhunters, recruitment agencies, or fee-based recruitment services. AMD and its subsidiaries are equal opportunity, inclusive employers and will consider all applicants without regard to age, ancestry, color, marital status, medical condition, mental or physical disability, national origin, race, religion, political and/or third-party affiliation, sex, pregnancy, sexual orientation, gender identity, military or veteran status, or any other characteristic protected by law. We encourage applications from all qualified candidates and will accommodate applicants’ needs under the respective laws throughout all stages of the recruitment and selection process.*","https://www.indeed.com/cmp/Amd","http://www.amd.com/","Sunnyvale, California","5,001 to 10,000","$5B to $10B (USD)","","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0d88c8b7ad753413e8139d134955d34d","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/49faf825aca90855673d29a2794a5ce5","Lisa Su",""
"4020795650","linkedin","https://www.linkedin.com/jobs/view/4020795650","","FPGA Edge AI Internship (Must be a U.S. Citizen)","Deca Defense","Melbourne, FL","","2024-09-08","","","","","","","","","","","","","https://www.linkedin.com/company/deca-defense","","","","","","","","",""
"4018841040","linkedin","https://www.linkedin.com/jobs/view/4018841040","","Machine Learning / Artificial Intelligence Intern/Co-Op (Undergrad | 2025 | Hybrid)","AMD","Austin, TX","","2024-09-07","","","","","","","","","","","","","https://www.linkedin.com/company/amd","","","","","","","","",""
"4018876363","linkedin","https://www.linkedin.com/jobs/view/4018876363","","Machine Learning / Artificial Intelligence Intern/Co-Op (Graduate | 2025 | Hybrid)","AMD","Austin, TX","","2024-09-07","","","","","","","","","","","","","https://www.linkedin.com/company/amd","","","","","","","","",""
"4018871987","linkedin","https://www.linkedin.com/jobs/view/4018871987","","Machine Learning / Artificial Intelligence Intern/Co-Op (Grad| Spring 2025 | Hybrid)","AMD","Santa Clara, CA","","2024-09-07","","","","","","","","","","","","","https://www.linkedin.com/company/amd","","","","","","","","",""
