"id","site","job_url","job_url_direct","title","company","location","job_type","date_posted","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","company_industry","listing_type","emails","description","company_url","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url"
"1009458616346","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009458616346","","Business Analyst Intern","AstraZeneca","Gaithersburg, MD","","2024-09-24","direct_data","yearly",52433.0,84611.0,"USD",False,"","","","organic","","We are seeking undergraduate and masters-level\\* students for a 12-Week Student Intern role to be working on a nationwide team with 2 openings in Gaithersburg, MD for a May 19th - August 8th contract period.

**Position Duties:**

* Analyze sales, demand, and representative activity data to determine effectiveness of sales strategies
* Manage report design and development for field end users and headquarters users
* Product managing for all reporting platforms such as agile methodologies, scrum, jira, or sprint planning.

**Position Requirements:**

* Undergraduate junior and Master's-level students working towards a degree in Business, Economics, Mathematics, Computer Science, Analytics or a related field. \\*Candidates graduating before or during the program will not be considered.
* MS Excel experience is required, PowerBI experience is a plus.
* Project management experience is a plus.
* Enthusiasm for collaboration, cross-functional projects, public speaking, and presentation design.
* Ability to report onsite to Gaithersburg, MD 3-5 days a week.
* Minimum grade point average of 3.0","https://www.glassdoor.com/Overview/W-EI_IE9214.htm","","","","","","https://media.glassdoor.com/sql/9214/astrazeneca-squareLogo-1656403626047.png","","",""
"1009457792339","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009457792339","","Business Analytics Intern","Microsoft","Redmond, WA","","2024-09-24","direct_data","monthly",5560.0,12200.0,"USD",False,"","","","organic","","Come build community, explore your passions and do your best work at Microsoft with thousands of University interns from every corner of the world. This opportunity will allow you to bring your aspirations, talent, potential—and excitement for the journey ahead.  

As a Business Analyst Intern, you will support the development and evaluation of analyses and reporting used to provide insights to decision makers around complex business problems. By assisting in the integration of mathematical and predictive analyses, operations research, and business analysis skills, you will help manage and analyze complex business data. You will support the understanding and anticipation of both business and data requirements, suggest opportunities to identify additional insights by leveraging data across sources, and assist in determining follow-up actions to share insights that drive decision-making to address specific business needs.  

Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.**Responsibilities**
--------------------

* As you begin to learn the business you will support the development of data infrastructure and analytical frameworks. You’ll leverage your understanding of the business to examine projects through a customer and/or stakeholder-oriented focus.
* You will use appropriate sources of data to address specific business needs and escalate complex issues. You’ll conduct analyses to respond to business questions and evaluate with guidance from others.
* You will share and simplify relevant findings, with guidance, and ensure presented results provide information accurately. You’ll build and/or conduct formal experiments and report results under direction.
* You will implement methods for making reporting and analytics self-service and efficient. You will understand linkages between analytical models and contribute to the summary of the review process—and, if the model is deemed deficient—seek to determine why.
* You will build working relationships within and across teams to ensure alignment to deliver key insights and results. You’ll adhere to data privacy rules and ensure data have undergone appropriate review.
* Conducts analyses to respond to business questions, interprets analytical outputs, provides responses in an appropriate format, and partners to build on others' analyses and frameworks.
* Critically evaluates the choice of tools, techniques, and assumptions to ensure they are appropriate within context and provides feedback on features and functions of analytical tools and/or models with guidance from others

**Qualifications**
------------------

**Required Qualifications*** Currently pursuing a Full-time Master of Business Administration (MBA) degree.
* Must have at least 1 semester/term remaining following the completion of the internship.


The base pay range for this internship is USD $5,560 - $11,190 per month. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $7,260 - $12,200 per month.  

  

Certain roles may be eligible for benefits and other compensation. Find additional benefits and pay information here: https://careers.microsoft.com/us/en/us-intern-pay  

  

Microsoft will accept applications for the role until October 23, 2024.  


Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.","https://www.glassdoor.com/Overview/W-EI_IE1651.htm","","","","","","https://media.glassdoor.com/sql/1651/microsoft-squarelogo-1479856042252.png","","",""
"1009456797598","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009456797598","","Business Analyst Internship- Summer 2025","Elevance Health","Atlanta, GA","","2024-09-23","direct_data","yearly",66326.0,123809.0,"USD",False,"","","","organic","elevancehealthjobssupport@elevancehealth.com","A **Business Analyst Intern** will be responsible for supporting the company’s Digital Platform AI Operations Team. During the program our Interns will receive an orientation to the company and engage in challenging projects evolving around the rapidly changing healthcare tech industry. Interns are paired with industry professionals and mentors and will be given opportunities to stretch their skills and enrich their knowledge base to achieve a greater understanding within technology.

**How you will make an impact:**

* Analyzes business and IT needs to determine optimal means of meeting those needs.
* Responsible for developing strategies, programs and solutions based on business priorities, consumer insights and industry trends that support digital strategy.
* Responsible for gathering and assessing market requirements through competitive intelligence and emerging trends, stakeholder and consumer feedback
* Contribute to Strategy and Business Development Efforts
* Develop and Deliver Presentations to Key Stakeholders

**Minimum Requirements:**

* Ability to work 40 hours per week for the duration of the internship program (May 19th-August 8th) .
* Enrolled in an approved academic program in Information Technology, Computer Science, Data Analytics, Actuarial Science, Mathematics or a related field of study.
* Students must be authorized to work in the U.S. without future visa sponsorship requirements
* For the Veteran internship, candidates do not need to be students as military experience and training can be substituted for educational experience.

**Preferred Skills, Capabilities and Experiences:**

Students will be assigned to a specific group within the Carelon Digital Platforms organization based on skill set and need of the business. Students should have experience and education in:

* Advanced skills with Microsoft Office Products (Word, Excel, PowerPoint, etc.)
* Excellent Communication skills, both written and oral.
* Excellent Critical thinking, data analysis, stakeholder management, business process management, CQL, Informatics skills
* Comfortable in a fast-paced environment and a quick learner.
* Responsible for developing strategies, programs and solutions based on business priorities, consumer insights and industry trends that support digital strategic frameworks.

  


Please be advised that Elevance Health only accepts resumes for compensation from agencies that have a signed agreement with Elevance Health. Any unsolicited resumes, including those submitted to hiring managers, are deemed to be the property of Elevance Health.


Who We Are


Elevance Health is a health company dedicated to improving lives and communities – and making healthcare simpler. We are a Fortune 25 company with a longstanding history in the healthcare industry, looking for leaders at all levels of the organization who are passionate about making an impact on our members and the communities we serve.


How We Work


At Elevance Health, we are creating a culture that is designed to advance our strategy but will also lead to personal and professional growth for our associates. Our values and behaviors are the root of our culture. They are how we achieve our strategy, power our business outcomes and drive our shared success - for our consumers, our associates, our communities and our business.


We offer a range of market-competitive total rewards that include merit increases, paid holidays, Paid Time Off, and incentive bonus programs (unless covered by a collective bargaining agreement), medical, dental, vision, short and long term disability benefits, 401(k) +match, stock purchase plan, life insurance, wellness programs and financial education resources, to name a few.


Elevance Health operates in a Hybrid Workforce Strategy. Unless specified as primarily virtual by the hiring manager, associates are required to work at an Elevance Health location at least once per week, and potentially several times per week. Specific requirements and expectations for time onsite will be discussed as part of the hiring process. Candidates must reside within 50 miles or 1-hour commute each way of a relevant Elevance Health location.


The health of our associates and communities is a top priority for Elevance Health. We require all new candidates in certain patient/member-facing roles to become vaccinated against COVID-19. If you are not vaccinated, your offer will be rescinded unless you provide an acceptable explanation. Elevance Health will also follow all relevant federal, state and local laws.


Elevance Health is an Equal Employment Opportunity employer and all qualified applicants will receive consideration for employment without regard to age, citizenship status, color, creed, disability, ethnicity, genetic information, gender (including gender identity and gender expression), marital status, national origin, race, religion, sex, sexual orientation, veteran status or any other status or condition protected by applicable federal, state, or local laws. Applicants who require accommodation to participate in the job application process may contact elevancehealthjobssupport@elevancehealth.com for assistance.","https://www.glassdoor.com/Overview/W-EI_IE925157.htm","","","","","","https://media.glassdoor.com/sql/925157/elevance-health-squareLogo-1656332656386.png","","",""
"1009457450639","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009457450639","","IT Business Analyst Internship","Nelnet","","","2024-09-23","direct_data","hourly",20.0,24.0,"USD",True,"","","","organic","corporaterecruiting@nelnet.net","Our Vision: We make dreams possible.
Yes, we’re a student loan servicer. We’re also a technology company, idea incubator, start-up accelerator, and K-12 and higher education expert. At Nelnet, we’re so much more than what you think—and we’re just getting started. So, no matter what you want to do in life—build codes or build brands—we’re the best place to do it.
Join Nelnet as an intern and do real work that matters to our business. All Nelnet interns receive one-on-one mentorship, competitive pay, casual dress, flexible schedule, intern-specific programming, and meaningful work experience.
Apply to one of our internships today. Your career awaits.
Hungry for relevant development experience while you’re still in school? Nelnet, a Fortune 1000 finance & technology company, is hiring eager students to join its Summer 2020 IT Internship program. Interns are placed in dynamic teams with one of two goals: delivering technology that makes educational finance simple so borrowers can achieve their dreams, and supporting K-12 schools with the systems they need to serve students each day. Across all teams, Nelnet interns enjoy competitive pay, casual dress, flexible work hours, and receive mentorship from IT pros.
The IT Business Analyst Intern formulates and defines system scope and objectives through research and fact-finding combined with an understanding of applicable business systems and industry requirements. They’ll review, analyze, and evaluate business systems and user needs, while executing changes needed to respond to requirements.  

We’re Looking for Someone Who...  

* Is pursuing a degree in Computer Science, Software Development, or a related field
* Possesses exceptional written, verbal and interpersonal skills
* Is comfortable working in an agile development environment and understands on time/within-budget principles.
* Strong consensus building, multi-tasking, interpersonal, and analytical skills.
* Ability to work with both technical staff and clients.
* Shares new ideas, is creative and passionate about innovation
* Sees feedback as an opportunity for growth

This position requires work in support of the Company’s contract with the United States Department of Education (“ED”). As such, the United States Government requires that any applicant for this position must complete United States Government security clearance. Effective June 1, 2018, ED has informed Nelnet that security clearance applications for foreign nationals are not being accepted or processed. In light of this direction from ED, Nelnet will be unable to hire applicants without United States citizenship for such positions.
Pay - $20 - $24
Nelnet is an Equal Opportunity Employer, complies with Executive Order 11246, and takes affirmative action to ensure that qualified applicants are employed, and that employees are treated during employment, without regard to race, color, religion/creed, national origin, gender, or sex, marital status, age, disability, use of a guide dog or service animal, sexual orientation, military/veteran status, or any other status protected by Federal or State law or local ordinance.
Qualified individuals with disabilities who require reasonable accommodations in order to apply or compete for positions at Nelnet may request such accommodations by contacting Corporate Recruiting at 402-486-5725 or corporaterecruiting@nelnet.net.
Nelnet is a Drug Free and Tobacco Free Workplace.","https://www.glassdoor.com/Overview/W-EI_IE22587.htm","","","","","","https://media.glassdoor.com/sql/22587/nelnet-squarelogo-1585851934039.png","","",""
"e15a9347c5509d39","indeed","https://www.indeed.com/viewjob?jk=e15a9347c5509d39","https://us241.dayforcehcm.com/CandidatePortal/en-US/marinerfinance/Posting/View/21567?source=Indeed","Business Analyst Intern","Mariner Finance","Nottingham, MD, US","parttime, fulltime, internship","2024-09-25","direct_data","yearly",29015.0,36739.0,"USD",False,"","","","","careers@marinerfinance.com","**Position:** Headquarters Intern
  
Part- time, non-exempt.
  
To the extent permitted by law, the Company may, in its sole discretion, change the work schedule to address business needs. Work hours will depend on the business hours of the time zone serviced.
  
  

In This Role, You Will…
  
Have the opportunity to work with the Headquarters (HQ) department that pertains to their current academic major or concentration to receive on-the-job training and experience. Receives training and mentorship in planning and carrying out activities and assignments.
  
  

**Responsibilities & Essential Duties:**  

* Work closely with department mentor and attend regularly scheduled one-on-one meetings to provide updates on projects.
* Follow weekly internship schedule as set by department supervisor and assigned mentor.
* Engage in various work assignments and activities to enable the intern to gain knowledge, skills and abilities needed to perform at a professional level.
* Represent selected Mariner Finance department in cross-functional projects while partnering across the organization to support key business priorities and initiatives.
* Help prepare Word, PowerPoint, and Excel documents.
* Schedule meetings and prepare correspondence in Outlook.
* Perform and present research at supervisor’s request.
* May perform additional functions depending on market demand and staffing in order to provide consistent quality customer service.


**Required Qualifications:**  

* Currently enrolled in a post-secondary education program and pursuing a degree in a related field of study.
* Proficient in Microsoft Office Suite, including Excel, Word and Outlook.
* Ability to work collaboratively with other members of the department and across business functions.
* Ability to work independently under direct supervision.
* Excellent interpersonal and communication skills.
* Ability to handle confidential information.
* Ability to work 40 hours a week.
* Reliable transportation required.


**Physical Demands:**  

While performing the duties of this job, the employee is frequently required to sit for extended periods; reach with hands and arms; operate computer and phone systems; and talk or hear. The employee is occasionally required to move about. The employee is required to be physically present in the office. The employee must occasionally lift and/or move up to twenty (20) pounds. Specific vision abilities required by this job include close vision and the ability to adjust focus.
  
  

This job description is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities that are required of the employee. Duties, responsibilities, and activities may change or new ones may be assigned at any time or without notice.
  
IND3
  
  

**Compensation:** Hourly Rate (commensurate with experience)
  
  

**Benefits:** Mariner Finance offers comprehensive benefits to eligible employees, including:
  
  

* Health Insurance - Health Savings Account (HSA) with employer contributions if enrolled in a qualifying plan, Flexible Spending Account (FSA), and Dependent Care FSA
* Vision Insurance
* Dental Insurance
* Company-paid Basic Life, Long-Term Disability, and AD&D Insurance
* Voluntary worksite benefits including Accident, Critical Illness, Hospital Indemnity, Short-Term Disability, Supplemental Life, and Supplemental AD&D Insurance
* 401(k) and Company Matching Contributions
* Paid Time Off - full-time employees may accrue a minimum of 120 hours per year
* 11 Paid Holidays
* FMLA
* Employee Assistance Program (EAP)
* Paid Parental Leave
* Referral Incentives
* Education Assistance Program
* Complimentary FIMC Membership Plan
* Access to industry-specific training programs
* Certain roles may qualify for additional benefits such as Relocation Assistance, Debt Assistance, Cell Phone Reimbursement, and Travel/Auto Reimbursement. Contact careers@marinerfinance.com for additional information.


Benefits provided are consistent with applicable state laws and Company policies. Eligibility may vary based on full-time or part-time status, location, or management level.
  
  

**For additional information, please visit:** https://www.marinerfinance.com/careers/benefits/
  
  

Mariner Finance is an Equal Opportunity Employer and does not discriminate on the basis of race, color, religion, creed, sex, gender, gender identity or expression, marital status, age, religion, national origin, sexual orientation, familial or caregiver status, citizenship status, status as a victim of domestic violence, medical condition, genetic information, pregnancy, physical or mental disability, or status as a disabled or Vietnam era veteran. Employee must be able to perform the essential duties/functions of the position satisfactorily and, if requested, reasonable accommodations will be made to enable employees with disabilities to perform the essential duties/functions of their job, absent undue hardship. Drug/Alcohol/Smoke-free workplace.
  
  

Mariner Finance, LLC | NMLS #166564","https://www.indeed.com/cmp/Mariner-Finance","http://www.marinerfinance.com","Baltimore, MD","1,001 to 5,000","Decline to state","We are a group of industry experts with the experience and drive to turn any financial need into a reality.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/136ae67e1eeee731264eafe61c6834a9","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/f5118e8b676d80ed0265b24e455241e6","Joshua Johnson","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/038b7e7d1173677116750afd2f37126c"
"621e320eab24a367","indeed","https://www.indeed.com/viewjob?jk=621e320eab24a367","https://jobs.tenneco.com/job/Monroe-Business-Analyst-Intern-MI/1216856900/","Business Analyst Intern","Tenneco","Monroe, MI, US","internship","2024-09-25","direct_data","yearly",40140.0,50826.0,"USD",False,"","","","","","**Tenneco is one of the world’s leading designer, manufacturers and marketers of automotive products for original equipment and aftermarket customers, with approximately 78.000 team members working at more than 300 sites worldwide. Through our four business groups, Motorparts, Ride Performance, Clean Air and Powertrain, Tenneco is driving advancements in global mobility by delivering technology solutions for diversified global markets, including light vehicle, commercial truck, off-highway, industrial, motorsport and the aftermarket.**  


We are looking for a Business Analyst Intern This position will report to the Sales Director of NVH. This person also leads meetings to initiate system changes with large business teams.  


This Business Analyst is a valued member on the team where we strive to promote from within wherever possible; therefore, opportunities for advancement are strong.  


Responsibilities:  


* Leads set up for customer EDI connections and conversions for the Aftermarket.
* Oversees EDI IT staff responsible for design and development of interfaces and maps
* Take self-directed lead in analyzing system incident reports, performing root-cause analysis, assessing alternatives, and implementing a solution
* Manage common configuration issues and system updates based on evolving business requirements and process changes
* Strong project management skills required. Must have the ability to push projects forward and mitigate issues
* Acts as the liaison with IT, business, EDI vendors and customers regarding all EDI initiatives
* Experience in multiple ERP/EDI systems required: Gentran, SAP PTA, Hana, G15, EWM, Cullinet
* Strong knowledge with communication methods such as FTP, web tools and AS2
* Manages, troubleshoots, leads projects for Internet based sites (VIC, IPO and TEN- Direct)
* Extensive terms of sale knowledge to set up customer accounts from New Business Analysis (NBA) data
* Manages processes and documentation of procedures to complete key customer master data set up
* Cultivates and fosters productive relationships with key customer contacts across all functional areas
* Initiates EDI and customer maintenance process work instructions and system enhancements and clean up
* Process and analyze monthly reports (audit, SAP label, order method reports, etc.)
* Audit reports analyzed to ensure accuracy
* Tests system connections with internal/external customers

Basic Qualifications:
* Currently pursuing a bachelor’s degree with an accredited university.
* Previous work, internship, or other leadership experience.
* Excellent written and verbal communication skills.
* Proficient with Microsoft Office
* Strong computer skills (Excel and Power Point)

  

Skills and Experience:  


* SAP report knowledge is required.
* Customer, catalog, and material master knowledge in SAP
* Knowledge of the IT ticket/request systems
* Strong knowledge of Aftermarket customer base
* Must possess critical thinking skills, quantitative and analytical/problem-solving skills with ability to interpret data.

**An Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.**","https://www.indeed.com/cmp/Tenneco","https://www.tenneco.com/","Northville, MI","10,000+","more than $10B (USD)","Join Tenneco to enable solutions for cleaner, more efficient, comfortable and reliable performance.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/5cd20329f46fb19c53254d669e21ae9a","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/8e4871370574e1a7848237b535ac7a74","Jim Voss","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/ca4f3c382bd15244892ca27b252ccc64"
"7f59509fed12271a","indeed","https://www.indeed.com/viewjob?jk=7f59509fed12271a","https://careers-chickfila.icims.com/jobs/17114/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","Chick-fil-A 2025 Summer Intern - Business Analyst","Chick-fil-A Corporate","Atlanta, GA, US","internship","2024-09-24","direct_data","yearly",46536.0,58925.0,"USD",False,"","","","","","Overview:

The Chick-fil-A Digital Transformation and Technology (DTT) Business Analyst Intern will have the opportunity to explore the Business Analyst role for proprietary Chick-fil-A applications such as the Chick-fil-A Mobile App, Supply Chain technologies, and Kitchen Production Systems, as well as non-proprietary systems like Workday, Microsoft suite, and other SaaS platforms.  

As a DTT Business Analyst Intern you will contribute to decisions made in partnership with our business stakeholders across Marketing, Customer Insights, Talent Operations, Supply Chain, Field Operations, or other digital teams.  

This role explores the intersection of business and technology skills through hands-on experience with partners, developing communication, process-improvement, technical writing, business mindset, and market awareness skills. You will collaborate with engineers, scrum masters, architects, business stakeholders, QA testers, and designers in an agile environment.  

The DTT internship is committed to developing participants personally and professionally. All participants are matched with an Early Talent Coach who supports them in their initiatives and development. Interns learn professionalism, interviewing skills, and curated technical topics. Interns meet with Chick-fil-A executives, Digital Transformation and Technology leadership, and DTT project leads to learn more about Chick-fil-A culture and key work in progress transformational to the business.
Responsibilities:
* Learn about a variety of Chick-fil-A systems and technologies, contribute directly to their success, and ideate on ways to improve current products, projects, and processes
* Support Operator, Team Member, Customer, or Staff initiatives by bringing their business goals to life through Chick-fil-A’s technology stack. You will assist the business through creating dashboards in Tableau, querying SQL databases, and/or using cloud technology
* Partner with Product Owners to gather business requirements, write user stories, and groom backlogs within a high functioning Agile based environment
* Attend and contribute to daily stand ups and sprint planning meetings
* Collaborate with cross-functional teams on projects supporting real Chick-fil-A applications and products such as CFA OneApp, On-Demand Delivery Platform, WorkDay system, Payments System, Service Now Application, etc.
* Contribute to solutions that help mitigate risks to project timelines and product quality
* Troubleshoot and help resolve high visibility escalations from the business
* Help foster a culture of care and inclusiveness
* Learn and carry out the principles of servant leadership
* Leverage partnerships across the business in areas such as Marketing, Customer Insights, Talent Operations, Supply Chain, Field Operations, and other digital stakeholders through communication, project planning, and work visibility initiatives

  

The Chick-fil-A Summer Intern Program will run for 11 weeks from May 19, 2025 to August 1, 2025 and Interns will need to live within a commutable distance to the Atlanta Corporate Support Center. We follow our Flexible Future model offers a healthy mix of working in person and virtually, strengthening key elements of the Chick-fil-A culture by fostering collaboration and community.
Minimum Qualifications:
* Actively pursuing a Bachelor’s Degree in Management Information Systems, Computer Information Systems, Industrial Engineering, Computational Media, Computer Science, Computer Engineering, or other related major at a 4-year University/College
* Expected graduation in Fall 2025, Spring 2026, or Summer 2026 (1 to 2 semesters of school remaining upon completion of the 2025 summer internship)
* Live within a commutable distance to the Atlanta Corporate Support Center for the 11-week program (May 19, 2025 - August 1, 2025)
* CURRENT overall GPA of 3.0


Preferred Qualifications:
* Past Projects or Internships focused on Analytical skills with strong problem-solving capabilities
* Excellent written and verbal communication skills
* Strong interpersonal skills


Major/Concentration: Actively pursuing a Bachelor’s Degree in Management Information Systems, Computer Information Systems, Industrial Engineering, Computational Media, Computer Science, Computer Engineering, or other related major at a 4-year University/College","https://www.indeed.com/cmp/Chick--fil--a-Corporate-1","https://www.chick-fil-a.com/careers/","Atlanta, GA","5,001 to 10,000","Decline to state","","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/eedfbba81c3962dedaa1d979f3d31bda","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/ff52bc47ae667bb7058fdba3d073faee","Andrew Truett Cathy","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/5a98ed850427abe690cf51d2ee072dd4"
"3808823d19e061b9","indeed","https://www.indeed.com/viewjob?jk=3808823d19e061b9","https://astrazeneca.wd3.myworkdayjobs.com/Careers/job/US---Gaithersburg---MD/Business-Analyst-Intern_R-209031","Business Analyst Intern","AstraZeneca","Gaithersburg, MD, US","fulltime","2024-09-24","direct_data","yearly",56284.0,71268.0,"USD",False,"","","","","","We are seeking undergraduate and masters-level\\* students for a 12-Week Student Intern role to be working on a nationwide team with 2 openings in Gaithersburg, MD for a May 19th - August 8th contract period.

**Position Duties:**

* Analyze sales, demand, and representative activity data to determine effectiveness of sales strategies
* Manage report design and development for field end users and headquarters users
* Product managing for all reporting platforms such as agile methodologies, scrum, jira, or sprint planning.

**Position Requirements:**

* Undergraduate junior and Master's-level students working towards a degree in Business, Economics, Mathematics, Computer Science, Analytics or a related field. \\*Candidates graduating before or during the program will not be considered.
* MS Excel experience is required, PowerBI experience is a plus.
* Project management experience is a plus.
* Enthusiasm for collaboration, cross-functional projects, public speaking, and presentation design.
* Ability to report onsite to Gaithersburg, MD 3-5 days a week.
* Minimum grade point average of 3.0","https://www.indeed.com/cmp/Astrazeneca","http://www.astrazeneca.com","Cambridge, England","10,000+","more than $10B (USD)","We are AstraZeneca, one of the world’s most forward-thinking and connected BioPharmaceutical companies.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/62d066f6c51610473f5f26fa4d83cacf","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/9e3df24d8aff1504a835604ff1dd7811","Pascal Soriot","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/6dcae83b1eceb42bd70e45485bc92bcd"
"4033581989","linkedin","https://www.linkedin.com/jobs/view/4033581989","","Business Analyst (Intern) United States","Cisco","North Carolina, United States","","2024-09-23","","","","","","","","","","","","","https://www.linkedin.com/company/cisco","","","","","","","","",""
"4034797058","linkedin","https://www.linkedin.com/jobs/view/4034797058","","Business Analyst Internship- Summer 2025","Elevance Health","Indianapolis, IN","","","","","","","","","","","","","","","https://www.linkedin.com/company/elevance-health","","","","","","","","",""
