"id","site","job_url","job_url_direct","title","company","location","job_type","date_posted","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","company_industry","listing_type","emails","description","company_url","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url"
"b911b52d52e36a4f","indeed","https://www.indeed.com/viewjob?jk=b911b52d52e36a4f","https://bostonscientific.eightfold.ai/careers/job/563602797230013","CDx Data Science Intern 2025","Boston Scientific","Arden Hills, MN, US","internship","2024-09-24","direct_data","yearly",40409.0,51167.0,"USD",True,"","","","","","Job Description

#### **Posted Date**


Sep 03, 2024#### **Workmode**


Onsite**Additional Location(s):** N/A

**Diversity - Innovation - Caring - Global Collaboration - Winning Spirit - High Performance**


At Boston Scientific, we’ll give you the opportunity to harness all that’s within you by working in teams of diverse and high-performing employees, tackling some of the most important health industry challenges. With access to the latest tools, information and training, we’ll help you in advancing your skills and career. Here, you’ll be supported in progressing – whatever your ambitions.

 **This position will be posted from September 3rd to November 8th, 2024**

*We will consider qualified applicants of all ages who are starting (or restarting) their careers.*

 **Title: Data Science Intern**

**Department: Cardiac Diagnostics (CDx)**

**Location(s): Arden Hills, MN**

**Duration: May - August 2025 (dates flexible)**

**Eligibility Requirements: Ability to work in the United States without restriction**

**Benefits:**

* **Corporate housing & relocation assistance or living stipend available for those who meet eligibility requirements**
* **Half-day Fridays all through the summer**
* **Free on-campus fitness center & group fitness classes**
* **Events throughout the summer include Intern social outings, volunteer day, ice cream & BBQs at the park, opportunities to learn about other BSC sites/departments and network cross-functionally with leadership and peers, and more!**
* **Casual, comfortable dress code and inclusive company culture**

 **Our Purpose:**


Cardiac Diagnostics is a leading developer of mobile health solutions and remote monitoring services that connect patients threatened by cardiac arrhythmias. Using insights to create revolutionary monitoring technologies, this tech-enabled, service-based approach can ultimately reduce the cost of care and improve health outcomes. Cardiac Diagnostics’ wearable portfolio includes the PatientCare Platform and BodyGuardian ® family.

 **Your Opportunity:**


As a Data Scientist Intern at Boston Scientific, you will…

* Participate in the areas of data science, data-driven analysis, signal processing, data mining, and machine learning.
* Research and assess next-generation technologies for the analysis of biological signals and data-driven modeling and optimization of complex systems.
* Performs exploratory data analysis and visualizations of multivariate clinical data sets
* Works closely with software engineering and other Data Scientists to test algorithms
* Maintains state-of-the-art knowledge and contributes to technical discussions and reviews in related areas of responsibility

 **Your Qualifications:**

**Required:**

* Current Bachelor's student in your Junior or Senior year or grad student. Must have at least one semester of school left post-internship to qualify.
* Pursuing degree in computer science, mathematics, applied statistics, physics, engineering or similar disciplines
* Must have authorization to work in the United States without restriction.
* Solid understanding of modern statistical data analysis techniques
* Strong programming skills in Python
* Excellent knowledge of data structures, algorithms and modern OOP techniques
* Ability to work independently and meet deadlines under guidance from a mentor
* Strong interpersonal and verbal communication skills
* Works effectively with peers, management, operations groups, and outside organizations

 **Preferred:**

* Previous research experience with biological signal processing and/or biomedical data analysis
* Prior experience in signal processing and feature extraction from physiological signals.
* Experience developing software in a hybrid Mac/Linux programming environment
* Familiarity with SQL, relational databases
* Familiarity with cloud computing and big data technologies
* Experience in medical algorithm development and support in medical industry.
* Knowledge of cardiac electrophysiology, cardiovascular and respiratory physiology
* Experience with Deep Neural Networks and common Deep Learning toolkits like TensorFlow, Theano

 **Requisition ID:** 590020


Among other requirements, Boston Scientific maintains specific prohibited substance testing requirements for safety-sensitive positions. This role is deemed safety-sensitive and, as such, candidates will be subject to a drug test as a pre-employment requirement. The goal of the drug testing is to increase workplace safety in compliance with the applicable law.

  

As a leader in medical science for more than 40 years, we are committed to solving the challenges that matter most – united by a deep caring for human life. Our mission to advance science for life is about transforming lives through innovative medical solutions that improve patient lives, create value for our customers, and support our employees and the communities in which we operate. Now more than ever, we have a responsibility to apply those values to everything we do – as a global business and as a global corporate citizen.

  

So, choosing a career with Boston Scientific (NYSE: BSX) isn’t just business, it’s personal. And if you’re a natural problem-solver with the imagination, determination, and spirit to make a meaningful difference to people worldwide, we encourage you to apply and look forward to connecting with you!

  

At Boston Scientific, we recognize that nurturing a diverse and inclusive workplace helps us be more innovative and it is important in our work of advancing science for life and improving patient health. That is why we stand for inclusion, equality, and opportunity for all. By embracing the richness of our unique backgrounds and perspectives, we create a better, more rewarding place for our employees to work and reflect the patients, customers, and communities we serve.

  

Boston Scientific Corporation has been and will continue to be an equal opportunity employer. To ensure full implementation of its equal employment policy, the Company will continue to take steps to assure that recruitment, hiring, assignment, promotion, compensation, and all other personnel decisions are made and administered without regard to race, religion, color, national origin, citizenship, sex, sexual orientation, gender identify, gender expression, veteran’s status, age, mental or physical disability, genetic information or any other protected class.

  

Boston Scientific maintains a prohibited substance free workplace. Pursuant to Va. Code § 2.2-4312 (2000), Boston Scientific is providing notification that the unlawful manufacture, sale, distribution, dispensation, possession, or use of a controlled substance or marijuana is prohibited in the workplace and that violations will result in disciplinary action up to and including termination.

  

Please be advised that certain US based positions, including without limitation field sales and service positions that call on hospitals and/or health care centers, require acceptable proof of COVID-19 vaccination status. Candidates will be notified during the interview and selection process if the role(s) for which they have applied require proof of vaccination as a condition of employment. Boston Scientific continues to evaluate its policies and protocols regarding the COVID-19 vaccine and will comply with all applicable state and federal law and healthcare credentialing requirements. As employees of the Company, you will be expected to meet the ongoing requirements for your roles, including any new requirements, should the Company’s policies or protocols change with regard to COVID-19 vaccination.","https://www.indeed.com/cmp/Boston-Scientific","https://www.bostonscientific.com","Marlborough, MA","10,000+","more than $10B (USD)","Boston Scientific is dedicated to transforming lives through innovative medical solutions that improve the health of patients around the world.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/8eb05ee652fedddb007e631d088a8f9d","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/1ed6adea80a34d59e9660db3c376264e","Michael F. Mahoney","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/64f3feca3caf8c610c52e05ade75b47d"
"53b1bdb76217f0e1","indeed","https://www.indeed.com/viewjob?jk=53b1bdb76217f0e1","https://grnh.se/733aab392us","Data Scientist - Intern (Fall 2024)","C3 AI","Redwood City, CA, US","internship","2024-09-24","direct_data","monthly",6000.0,8000.0,"USD",False,"","","","","","C3.ai, Inc. (NYSE:AI) is a leading Enterprise AI software provider for accelerating digital transformation. The proven C3 AI Platform provides comprehensive services to build enterprise-scale AI applications more efficiently and cost-effectively than alternative approaches. The C3 AI Platform supports the value chain in any industry with prebuilt, configurable, high-value AI applications for reliability, fraud detection, sensor network health, supply network optimization, energy management, anti-money laundering, and customer engagement. Learn more at: **C3 AI**


As a fall intern in the C3 AI Data Science team, you will work with some of the largest companies on the planet to help them build the next generation of AI-powered enterprise applications. You will collaborate directly with data scientists, software engineers, and subject matter experts in defining new AI solutions that provide our customers (c3.ai/customers/) with the information they need to make informed decisions and enable their digital transformation. Your role will involve finding the appropriate machine learning algorithms and implementing them on the C3 AI Platform to ensure they can run at scale.



Qualified candidates will have an in-depth knowledge of most common machine learning techniques and their application. You will also understand the limitations of these algorithms and how to tweak them or derive from them to achieve similar results at a large scale.


**Responsibilities:**


* Designing and deploying Machine Learning algorithms for industrial applications such as predictive maintenance, demand forecasting and process optimization.
* Collaborating with data and subject matter experts from C3 AI and its customer teams to seek, understand, validate, interpret, and correctly use new data elements.
* Driving adoption and scalability of Generative AI and Deep Learning systems within C3 AI's products.


**Qualifications:**


* Pursuing or completed MS or PhD in Computer Science, Electrical Engineering, Statistics, or equivalent fields.
* Applied Machine Learning experience (regression and classification, supervised, self-supervised, and unsupervised learning).
* Strong mathematical background (linear algebra, calculus, probability, and statistics).
* Proficiency in Python and objected-oriented programming, e.g. JavaScript
* Familiarity with key Python packages for data wrangling, machine learning, and deep learning such as pandas, sklearn, tensorflow, torch, langchain, etc.
* Ability to drive a project and work both independently and in a cross-functional team.
* Smart, motivated, can-do attitude, and seeks to make a difference in a fast-paced environment.
* Excellent verbal and written communication.


**Preferred Qualifications:**


* Experience with scalable ML (MapReduce, Spark).
* Experience in Generative AI, e.g., Large Language Models (LLMs), embedding models, prompt engineering, and fine-tuning.
* Experience with reinforcement learning.
* A portfolio of projects (GitHub, papers, etc.).


At the office, we offer a fully stocked kitchen with catered lunch, table tennis and pool table, free membership at our on-site gym, Friday evening social hours with food, drink and music and a fun team of great people.


C3 AI is proud to be an Equal Opportunity and Affirmative Action Employer. We do not discriminate on the basis of any legally protected characteristics, including disabled and veteran status.","https://www.indeed.com/cmp/C3-Ai","http://www.c3.ai","Redwood City, CA","501 to 1,000","Decline to state","C3.ai, Inc. (NYSE:AI) is a leading provider of enterprise AI software for accelerating digital transformation.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/f84e668b0e68e8517a2b8246e37c8dcf","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/b06da01e33313dd3e56e3370e2484f76","Thomas M. Siebel","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/7b141f47194a6fcc44c630e164cbd95a"
"658d8033f5ad03cf","indeed","https://www.indeed.com/viewjob?jk=658d8033f5ad03cf","https://alliance.wd3.myworkdayjobs.com/en-US/nissanjobs/job/ev-strategy-data-scientist-intern--summer-2025--franklin--tn_r00172944","EV Strategy Data Scientist Intern- Summer 2025- Franklin, TN","Nissan North America","Franklin, TN, US","fulltime","2024-09-23","direct_data","yearly",38557.0,48822.0,"USD",False,"","","","","","**Job Schedule:** Hybrid  

  

**Sponsorship:** No  

  

Shape the Future of Mobility at Nissan: Launch Your Career, Drive Innovation  

  

At Nissan, we're not just building cars, we're revolutionizing mobility. We're a global leader with a heritage of innovation, and we're searching for talented individuals like you to join us on this exciting journey. We believe that every individual possesses a unique set of skills and passions that can be harnessed to drive innovation and shape the future of the automotive industry. Our diverse range of program areas and career paths offer exciting opportunities for adventurers like you to embark on a thrilling professional journey.
  

  

Learn more about Nissan's future here: https://www.youtube.com/watch?v=EDJ3GVA1QRw  

  

We are currently looking for an **EV Strategy Data Scientist Intern** to join our team in **Franklin, TN**.  

  

The intern would generally be expected to support Data Engineering (cleaning, wrangling), Analytics (visualization, storyboarding) and Data Science (prediction) work across projects.  

The intern will assist in Project Management (Waterfall, Agile) of current and upcoming cross-functional data science initiatives related to EV. If interest from the intern exist there is also opportunity to get involved in Data Science and Product Strategy work relating to Nissans ecosystem of services.  

  

**A Day in the Life:**  

* Serve as one of the primary drivers of enhancing Nissans Customer Lifetime Value through the development and insights derived from EV related Data Products and Services.
* Apply Data Science techniques to improve revenue/profit or achieve cost savings by developing strategic recommendations for data related projects and workstreams.
* Design and complete research and analysis of opportunities related to business performance, customer behavior and their implications for the design of digital product and services.
* Develop, inform & monitor execution of project plans, new business strategies, business case financials, and implementation plans to Senior Executives for approval.
* Use internal and external data to conduct broad and deep quantitative and qualitative research and analysis to identify specific opportunities and to support business recommendations and the design of Data Product and Services.
* Work with key internal stakeholders on defining and refining potential opportunities. Develop new business initiative strategies, business cases and business plans, and execution plans.
* Work with cross-functional teams regionally and globally to define and gain input into EV business opportunities.
* Work with use cases across the full customer journey to develop & execute strategy for enhancing Customer Lifetime Value; implement & execute plans based on current offerings and provide feedback to Data Science teams on refining execution based on customer needs & feedback.

  

**Who We're Looking for:**  

* Must be currently enrolled in an undergraduate/graduate degree program in Social Sciences, Economics with a minor in Data Analytics. or a related field.
* Minimum 3.0 GPA
* Intermediate understanding of Data Science concepts and use associated tools such as Python, Tableau.
* Intermediate to advanced utilization of spreadsheets, PowerPoint, demos, mobile apps, and other applications of a technical nature.

  

**What You'll Look Forward to as an EV Strategy Data Scientist Intern at Nissan:**  

  

**Connection and Collaboration:** We offer Business Synergy Teams (ERGs) and opportunities for our employees to strengthen their relationships and meet people from similar and diverse backgrounds to foster a culture of belonging.  

  

**Professional Training and Development:** Expand your knowledge and skills through Nissan's rich innovation offerings, seminars, learning platforms and leadership trainings.  

  

The Nissan Leadership Way sets our company way of doing things, with the values underpinning how we can work together to achieve success. Explore more here: https://www.nissan-global.com/EN/COMPANY/LIFE\\_AT\\_NISSAN/  

  

Fuel your career with innovation and purpose by joining Nissan, a company dedicated to enriching other's lives.  

  

Nissan is committed to a drug-free workplace. All employment is contingent upon successful completion of drug and background screenings in accordance with Nissan policies and as permitted by applicable statutes and regulations.
  

  

It is Nissan's policy to provide Equal Employment Opportunity (EEO) to all persons regardless of race, gender, military status, disability, or any other status protected by law. Candidates for this position must be legally authorized to work in the United States and will be required to provide proof of employment eligibility at the time of hire; Nissan uses E-Verify to validate employment eligibility.  

Franklin Tennessee United States of America","https://www.indeed.com/cmp/Nissan-North-America-68154142","https://www.nissanmotor.jobs/","Franklin, TN","10,000+","$5B to $10B (USD)","Join us on our journey into a future of possibility, and experience a career as exhilarating as the open road.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/5159246a6533588f2220b118068dda6f","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/103eb1baab531fca48e7683ea574ab0c","Hiroto Saikawa","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/4e149efc3a513ad25f5b17f11e557989"
"a192b754584ca7e3","indeed","https://www.indeed.com/viewjob?jk=a192b754584ca7e3","https://jobs.ericsson.com/careers/job/563121760897033?domain=ericsson.com","Data Scientist - Intern","Ericsson-Worldwide","Santa Clara, CA, US","fulltime, internship","2024-09-03","direct_data","hourly",28.0,38.0,"USD",False,"","","Telecommunications","","hr.direct.mana@ericsson.com","**Join our Team**
-----------------


**About this opportunity:**

**Data Scientist - Intern**

**Summer 2025**

**Location -** Santa Clara, CA

  

Ericsson Inc. does not sponsor US work authorization for this job position including H-1B, O-1, L-1 and TN. Ericsson also does not hire F-1’s working on EAD for this position.

  

As the tech firm that created the mobile world, and with more than 54,000 patents to our name, we’ve made it our business to make a mark. When joining our team at Ericsson you are empowered to learn, lead and perform at your best, shaping the future of technology. This is a place where you're welcomed as your own perfectly unique self, and celebrated for the skills, talent, and perspective you bring to the team. Come, and be where it begins.

 **What you will do:**

* Work with our data science team in designing and creating innovative AI and ML solutions
* Document findings and research done with regards to the project allocated
* Publish any new discoveries and ideas in a journal paper

 **The skills you bring:**

* Pursuing at least a Master’s degree in Computer Science, Data Science, or Electrical Engineering. PhD candidates will also be considered.
* Have experience in ML modeling using regression, decision trees, as well as neural networks. Experience fine tuning LLMs or Transformer models would be huge plus.
* Thrive individually and as part of a team
* Enjoy working on tight deadlines
* Be able to produce quickly in a rapidly changing environment

 **As an intern with Ericsson, you will enjoy:**

* 1:1 Mentorship
* Intern Specific Events & Projects
* Career Development
* Peer & Senior Level Networking
* Participation in Employee Resource Groups

 **Internship Eligibility Requirements:**

* 3.0+ GPA
* Currently pursuing an undergraduate, Master’s, or PhD on a full-time basis at a 4-year college or university
* Be available to work 40 hours per week during the summer
* Have at least 1 semester left (post-internship)
* Major, experience, or demonstrable interest in the position you apply for
**Compensation Data**
---------------------


**Compensation and Benefits at Ericsson:**  

At Ericsson, we know that our people are the key to our success. We offer competitive compensation to help with your individual needs and goals.

 **Your Pay**  

The salary range for this position is listed below. The actual salary offered is dependent on various factors including, but not limited to, location, the candidate’s combination of job-related knowledge, qualifications, skills, education, training, and experience  

* Washington, New York, and New Jersey: $28 - $35
* California: $28 - $38
* All other US locations: $26 - $32
 **Accepting applications until November 30, 2024 or until filled.**

**Why join Ericsson?**


At Ericsson, you´ll have an outstanding opportunity. The chance to use your skills and imagination to push the boundaries of what´s possible. To build solutions never seen before to some of the world’s toughest problems. You´ll be challenged, but you won’t be alone. You´ll be joining a team of diverse innovators, all driven to go beyond the status quo to craft what comes next.  

  

**What happens once you apply?**  

Click Here to find all you need to know about what our typical hiring process looks like.

  

Encouraging a diverse and inclusive organization is core to our values at Ericsson, that's why we nurture it in everything we do. We truly believe that by collaborating with people with different experiences we drive innovation, which is essential for our future growth. We encourage people from all backgrounds to apply and realize their full potential as part of our Ericsson team. Ericsson is proud to be an Equal Opportunity and Affirmative Action employer, learn more.

  



If you need assistance or to request an accommodation due to a disability, please contact Ericsson at hr.direct.mana@ericsson.com

  

DISCLAIMER: The above statements are intended to describe the general nature and level of work being performed by employees in this position. They are not an exhaustive list of all responsibilities, duties and skills required for this position, and you may be required to perform additional job tasks as assigned.

**Primary country and city:** United States (US) || Santa Clara

**Job details:** Product Development Leader","https://www.indeed.com/cmp/Ericsson--worldwide-1","http://www.ericsson.com/careers","Stockholm Sweden","10,000+","more than $10B (USD)","Do you want to be part of shaping the future? From making connectivity more accessible to the latest IoT solutions, you have an opportunity to be where it begins.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c50f14536e0deeae1493678dfe91b816","https://d2q79iu7y748jz.cloudfront.net/s/_headerimage/1960x400/4dc319b53101fcf4092818ec16dd7177","Börje Ekholm","https://d2q79iu7y748jz.cloudfront.net/s/_ceophoto/512x512/91667fc2d2e429d551aa19e9fec8a45b"
"4030715059","linkedin","https://www.linkedin.com/jobs/view/4030715059","","Data Science Intern","Hewlett Packard Enterprise","Milpitas, CA","","2024-09-23","","","","","","","","","","","","","https://www.linkedin.com/company/hewlett-packard-enterprise","","","","","","","","",""
"4030712136","linkedin","https://www.linkedin.com/jobs/view/4030712136","","Data Science Intern","Hewlett Packard Enterprise","San Jose, CA","","2024-09-23","","","","","","","","","","","","","https://www.linkedin.com/company/hewlett-packard-enterprise","","","","","","","","",""
"4030709398","linkedin","https://www.linkedin.com/jobs/view/4030709398","","Data Science Intern","Hewlett Packard Enterprise","Roseville, CA","","2024-09-23","","","","","","","","","","","","","https://www.linkedin.com/company/hewlett-packard-enterprise","","","","","","","","",""
"4033395148","linkedin","https://www.linkedin.com/jobs/view/4033395148","","Data Scientist - Intern","Ericsson","Santa Clara, CA","","","","","","","","","","","","","","","https://se.linkedin.com/company/ericsson","","","","","","","","",""
"1009460649039","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009460649039","","HR Data Analyst Intern (Summer 2025)","Love's Travel Stops & Country Stores","Oklahoma City, OK","","2024-09-25","direct_data","yearly",35050.0,65427.0,"USD",False,"","","","organic","","**Req ID:** 446299
  
  

Love's College Intern Program
  
  

The Love’s college internship program is frequently referred to as the best in Oklahoma City. This rapidly growing program provides opportunities for students in multiple areas of the business to receive employee level experience, not just busy work. Students also gain valuable knowledge that they can’t get in a classroom; they are guided through proper etiquette of a professional corporate setting. With a high percentage of full time offers, Love’s takes the time to invest not only in the students, but in their future.
  
  

Over the course of the summer, Love’s interns also participate in the following activities:
  
  

Experience multiple business operations
  
  

Q&A sessions with executives
  
  

**Participation in Greater Grads:** InternOKC
  
  

Community volunteering activities
  
  

Social-networking events
  
  

Instructor led Training (Technical and Soft Skills)
  
  

Mentor program
  
  

Structured performance feedback
  
  

Formal presentation to Love’s leadership
  
  

**BASIC PURPOSE:** The primary purpose of this position is to perform a variety of tasks/projects that address the needs of the Human Resources department and to facilitate a learning opportunity for the Intern. The intern will assist in the effort for developing analytical insights that drive value back to the business. This will include building reports, creating data sets and creating visualizations.
  
  

**MAJOR RESPONSIBILITIES:**  

Utilize tools such as Power BI, Excel and SAP Reporting Products to conduct analytics and visualize data insights.
  
Develop reports and recommendations that drive business value and guides strategic business decisions.
  
Support other projects outside of those assigned by participating in team meetings and brainstorming sessions.
  
Other duties assigned as needed.
  
  

**EDUCATION AND EXPERIENCE:**  

**Education:**  

HS Diploma or equivalent required
  
Currently enrolled in four-year university program , a sophomore level or above (pursuing a bachelor’s or master’s degree in Business Analytics, Statistics, MIS preferred, or other related degree)
  
  

**Experience:**  

Past Internship experience a plus but not necessary.
  
  

**SKILLS AND PHYSICAL DEMANDS:**  

**Skills:**  

**Hard Skills:** Strong knowledge of Excel; Power BI a plus. Understanding of basic analytical techniques
  
**Soft Skills:** Strong problem solving abilities, strong critical thinking, keen attention to detail, strong oral and verbal communication skills, organization skills, and team player.
  
  

**Typical Physical Demands:**  

Requires prolonged sitting, some bending and stooping.
  
Occasional lifting up to 25 pounds.
  
Manual dexterity sufficient to operate a computer keyboard and calculator.
  
Requires normal range of hearing and vision.
  
  

**Job Function(s):** Corporate
  
  

Love’s has been fueling customers’ journeys since 1964. Innovation and perseverance continue to lead the way for the family-owned and -operated business headquartered in Oklahoma City with more than 40,000 team members in North America and Europe. The company’s core business is travel stops and convenience stores with more than 630 locations in 42 states. Love’s continues its commitment to offer products and services that provide value for professional drivers, fleets, four-wheel customers, RVers, alternative fuel and wholesale fuel customers. Giving back to communities Love’s serves and maintaining an inclusive and diverse workplace are hallmarks of the company’s award-winning culture.
  
  

**The Love’s Family of Companies includes:**  

Gemini Motor Transport, one of the industry’s safest trucking fleets.
  
  

Speedco and Love’s Truck Care, the largest oil change and preventive maintenance and total truck care network.
  
  

Musket, a rapidly growing, Houston-based commodities supplier and trader.
  
  

Trillium, a Houston-based alternative fuels expert.
  
  

TVC Pro-driver, a commercial driver’s license (CDL) protection subscription service.","https://www.glassdoor.com/Overview/W-EI_IE8902.htm","","","","","","https://media.glassdoor.com/sql/8902/love-s-travel-stops-and-country-stores-squarelogo-1552646643871.png","","",""
"1009457588767","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009457588767","","Quality Data Analyst Intern","Viasat","Duluth, GA","","2024-09-23","direct_data","hourly",21.0,66.0,"USD",False,"","","","organic","","**About us**  

One team. Global challenges. Infinite opportunities. At Viasat, we’re on a mission to deliver connections with the capacity to change the world. For more than 35 years, Viasat has helped shape how consumers, businesses, governments and militaries around the globe communicate. We’re looking for people who think big, act fearlessly, and create an inclusive environment that drives positive impact to join our team.  

  

**What you'll do**  

The quality systems and intelligence team collaborates with various quality functions to provide system automation and data driven analysis. As part of the team you may be tasked with developing a data pipeline, performing analysis, building reports or reviewing a process for automation opportunities. We use a variety of different tools and platforms which can grow your analysis tool belt. You will have the opportunity to collaborate with our internal team as you brainstorm solutions or discuss road blocks and meet customers across quality as you assist in solving their problems.  

  

**The day-to-day**  

Every day may be a little different due to the broad umbrella our team supports. Here are some of the tasks you can expect to be engaged with in this role:* Meeting with customers to identify problem statement and drive project requirements
* Perform data transformations to build an efficient data set
* Develop visualizations or tools
* Compare various technologies and select the best tool and setup for the problem
* Attend and contribute to sprint planning, stand ups and retrospectives


Internship Program Details:

* You will work onsite at a Viasat office location for the duration of your 12 week internship. Viasat embraces a flexible work environment and onsite/hybrid work is determined by individual roles and teams.
* Housing and relocation assistance are available to interns pending eligibility.
* To ensure equity across our intern population, intern compensation is pre-determined based on a variety of factors including: role, location, and final graduation date. Intern compensation is non-negotiable.
  

  

**What you'll need**  

Education Requirements:

* Currently pursuing a Bachelor’s degree or higher in Engineering, Statistics, Information Technology, Data Analytics or a related field

Internship Dates:

* You must be available for the full duration of the 12-week internship program. Note limited exceptions may be granted. Viasat offers two options based on semester and quarter academic calendars:
	+ Cohort 1: May 20th, 2025 – August 15th, 2025
	+ Cohort 2: June 17th, 2025 – September 12th, 2025

Additional Requirements:

* Experience with basic coding in at least one of these languages: Python, R, SQL
* Strong problem solving skills


  

**What will help you on the job**  

* Driven
* Communicates effectively with audiences of varying technical backgrounds
* Quick learner
* Previous Viasat internship experience


  

**Salary range**  

  

$21 - $66 / hourly  

  

  

  

At Viasat, we consider many factors when it comes to compensation, including the scope of the position as well as your background and experience. Base pay may vary depending on job-related knowledge, skills, and experience. Additional cash or stock incentives may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered. Learn more about Viasat’s comprehensive benefit offerings that are focused on your holistic health and wellness at careers.viasat.com/LifeAtViasat/Benefits.
  

**EEO statement**  

Viasat is proud to be an equal opportunity employer, seeking to create a welcoming and diverse environment. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, ancestry, physical or mental disability, medical condition, marital status, genetics, age, or veteran status or any other applicable legally protected status or characteristic. If you would like to request an accommodation on the basis of disability for completing this on-line application, please click here.","https://www.glassdoor.com/Overview/W-EI_IE5500.htm","","","","","","https://media.glassdoor.com/sql/5500/viasat-squarelogo-1512067575020.png","","",""
